StationID,FromDate,ToDate,Stations,Latitude,Longitude,StationName,State
13904,20080928,20081230,3,55,6.3333,Nordseeboje 2,Hamburg
13965,20081201,20190202,619,48.2639,8.8134,Balingen-Bronnhaupten,Baden-Wrttemberg
14138,20090914,20151229,73,52.1655,14.1224,Falkenberg (Grenzschichtmessfeld),Brandenburg
14311,19610101,20051231,530,50.15,6.5528,Hersdorf-Weiﬂenseifen,Rheinland-Pfalz
15000,20110401,20190202,231,50.7983,6.0244,Aachen-Orsbach,Nordrhein-Westfalen
15207,20131101,20190202,317,51.2835,9.359,Schauenburg-Elgershausen,Hessen
15444,20140901,20190202,593,48.4418,9.9216,Ulm-M-hringen,Baden-Wrttemberg
15526,18910101,19351231,29,53.5467,9.9716,Hamburg (Deutsche Seewarte),Hamburg
15555,20160501,20190202,816,47.8761,10.5848,Kaufbeuren-Oberbeuren,Bayern
15926,19510101,19551020,370,49.341,12.133,Fronberg (Schwandorf),Bayern
15951,19760401,20040831,280,49.2121,7.5882,Pirmasens (Kl-ranlage),Rheinland-Pfalz
15963,19540101,20041130,40,51.3258,6.5089,St. T-nis,Nordrhein-Westfalen
15965,19690501,19840831,350,50.3102,9.7838,Br-ckenau Bad (Elisabethenhof),Bayern
15979,19480101,19790331,426,49.9311,7.5153,Sargenroth,Rheinland-Pfalz
16085,19600701,19611231,8,53.5874,8.6011,Leherheide,Bremen
